date;close
2019-07-29;246
2019-07-30;242
2019-07-31;258
2019-08-01;254
2019-08-02;250
2019-08-05;258
2019-08-06;248
2019-08-07;244
2019-08-08;246
2019-08-09;246
2019-08-12;244
2019-08-13;242
2019-08-14;242
2019-08-15;244
2019-08-16;242
2019-08-19;240
2019-08-20;240
2019-08-21;246
2019-08-22;248
2019-08-23;242
2019-08-26;236
2019-08-27;236
2019-08-28;232
2019-08-29;230
2019-08-30;232
2019-09-02;226
2019-09-03;224
2019-09-04;236
2019-09-05;234
2019-09-06;232
2019-09-09;230
2019-09-10;230
2019-09-11;232
2019-09-12;234
2019-09-13;230
2019-09-16;226
2019-09-17;230
2019-09-18;230
2019-09-19;228
2019-09-20;228
2019-09-23;228
2019-09-24;224
2019-09-25;222
2019-09-26;224
2019-09-27;222
2019-09-30;218
2019-10-01;220
2019-10-02;218
2019-10-03;214
2019-10-04;214
2019-10-07;212
2019-10-08;214
2019-10-09;212
2019-10-10;212
2019-10-11;214
2019-10-14;216
2019-10-15;218
2019-10-16;216
2019-10-17;216
2019-10-18;220
2019-10-21;220
2019-10-22;222
2019-10-23;222
2019-10-24;224
2019-10-25;224
2019-10-28;226
2019-10-29;226
2019-10-30;224
2019-10-31;222
2019-11-01;214
2019-11-04;214
2019-11-05;212
2019-11-06;216
2019-11-07;214
2019-11-08;216
2019-11-11;214
2019-11-12;218
2019-11-13;216
2019-11-14;214
2019-11-15;214
2019-11-18;212
2019-11-19;214
2019-11-20;214
2019-11-21;214
2019-11-22;212
2019-11-25;208
2019-11-26;206
2019-11-27;202
2019-11-28;206
2019-11-29;204
2019-12-02;204
2019-12-03;206
2019-12-04;204
2019-12-05;206
2019-12-06;206
2019-12-09;208
2019-12-10;206
2019-12-11;206
2019-12-12;206
2019-12-13;206
2019-12-16;210
2019-12-17;208
2019-12-18;208
2019-12-19;208
2019-12-20;204
2019-12-23;204
2019-12-26;208
2019-12-27;208
2019-12-30;206
2020-01-02;208
2020-01-03;210
2020-01-06;210
2020-01-07;210
2020-01-08;210
2020-01-09;206
2020-01-10;208
2020-01-13;208
2020-01-14;208
2020-01-15;204
2020-01-16;206
2020-01-17;206
2020-01-20;204
2020-01-21;206
2020-01-22;200
2020-01-23;204
2020-01-24;202
2020-01-27;198
