date,close
2021-06-16,59000
2021-06-14,50250
2021-06-11,43200
2021-06-10,41000
2021-06-09,36200
2021-06-08,34200
2021-06-07,28500
2021-06-04,23750
2021-06-03,19800
2021-06-02,16500
2021-05-31,13750
2021-05-28,11475
2021-05-25,11700
2021-05-24,11700
2021-05-21,11500
2021-05-20,11800
2021-05-19,11975
2021-05-18,11000
2021-05-17,11675
2021-05-11,11700
2021-05-10,11825
2021-05-07,11825
2021-05-06,11900
2021-05-05,11925
2021-05-04,10700
2021-05-03,11375
2021-04-30,11375
2021-04-29,11875
2021-04-28,11950
2021-04-27,12375
2021-04-26,12500
2021-04-23,12050
2021-04-22,12000
2021-04-21,12000
2021-04-20,12000
2021-04-19,12300
2021-04-16,11800
2021-04-15,11625
2021-04-14,11825
2021-04-13,11200
2021-04-12,11750
2021-04-09,11800
2021-04-08,11750
2021-04-07,11325
2021-04-06,11350
2021-04-05,11275
2021-04-01,11275
2021-03-31,10525
2021-03-30,11200
2021-03-29,11200
2021-03-26,11775
2021-03-25,10700
2021-03-24,11275
2021-03-23,11475
2021-03-22,12200
2021-03-19,10600
2021-03-18,11375
2021-02-10,12225
2021-02-09,10200
2021-02-08,9300
2021-02-05,8250
2021-02-04,7025
2021-02-03,7425
2021-02-02,7975
2021-02-01,8575
2021-01-29,7150
2021-01-28,5975
2021-01-21,4780
2021-01-20,3830
2021-01-18,3070
2021-01-15,2460
2021-01-14,1975
2021-01-13,1580
2021-01-12,1265
2021-01-11,1015
2021-01-08,815
2021-01-07,655
