date,close
2021-07-09,6039
2021-07-08,6039
2021-07-07,6044
2021-07-06,6047
2021-07-05,6005
2021-07-02,6023
2021-07-01,6005
2021-06-30,5985
2021-06-29,5949
2021-06-28,5939
2021-06-25,6022
2021-06-24,6012
2021-06-23,6034
2021-06-22,6087
2021-06-21,5996
2021-06-18,6007
2021-06-17,6068
2021-06-16,6078
2021-06-15,6089
2021-06-14,6080
2021-06-11,6095
2021-06-10,6107
2021-06-09,6047
2021-06-08,5999
2021-06-07,6069
2021-06-04,6065
2021-06-03,6091
2021-06-02,6031
2021-05-31,5947
2021-05-28,5848
2021-05-27,5841
2021-05-25,5815
2021-05-24,5763
2021-05-21,5773
2021-05-20,5797
2021-05-19,5760
2021-05-18,5834
2021-05-17,5833
2021-05-11,5938
2021-05-10,5975
2021-05-07,5928
2021-05-06,5970
2021-05-05,5975
2021-05-04,5963
2021-05-03,5952
2021-04-30,5995
2021-04-29,6012
2021-04-28,5974
2021-04-27,5959
2021-04-26,5964
2021-04-23,6016
2021-04-22,5994
2021-04-21,5993
2021-04-20,6038
2021-04-19,6052
2021-04-16,6086
2021-04-15,6079
2021-04-14,6050
2021-04-13,5927
2021-04-12,5948
2021-04-09,6070
2021-04-08,6071
2021-04-07,6036
2021-04-06,6002
2021-04-05,5970
2021-04-01,6011
2021-03-31,5985
2021-03-30,6071
2021-03-29,6166
2021-03-26,6195
2021-03-25,6122
2021-03-24,6156
2021-03-23,6252
2021-03-22,6301
2021-03-19,6356
2021-03-18,6347
2021-03-17,6277
2021-03-16,6309
2021-03-15,6324
2021-03-12,6358
2021-03-10,6264
2021-03-09,6199
2021-03-08,6248
2021-03-05,6258
2021-03-04,6290
2021-03-03,6376
2021-03-02,6359
2021-03-01,6338
2021-02-26,6241
2021-02-25,6289
2021-02-24,6251
2021-02-23,6272
2021-02-22,6255
2021-02-19,6231
2021-02-18,6200
2021-02-17,6227
2021-02-16,6292
2021-02-15,6270
2021-02-11,6222
2021-02-10,6201
2021-02-09,6181
2021-02-08,6208
2021-02-05,6151
2021-02-04,6107
2021-02-03,6077
2021-02-02,6043
2021-02-01,6067
2021-01-29,5862
2021-01-28,5979
2021-01-27,6109
2021-01-26,6140
2021-01-25,6258
2021-01-22,6307
2021-01-21,6413
2021-01-20,6429
2021-01-19,6321
2021-01-18,6389
2021-01-15,6373
2021-01-14,6428
2021-01-13,6435
2021-01-12,6395
2021-01-11,6382
2021-01-08,6257
2021-01-07,6153
2021-01-06,6065
2021-01-05,6137
2021-01-04,6104
2020-12-30,5979
2020-12-29,6036
2020-12-28,6093
2020-12-23,6008
2020-12-22,6023
2020-12-21,6165
2020-12-18,6104
2020-12-17,6113
2020-12-16,6118
2020-12-15,6010
2020-12-14,6012
2020-12-11,5938
